150672	219723	39833	8282	12844	15	384	642	99	104	172	15
146909	217888	43549	109639	140417	23	182	308	59	2682	4239	23
145593	217093	44563	14882	23514	17	231	389	25	288	466	17
144663	216593	45398	168031	182410	26	63	114	32	3607	5845	26
143763	216051	46064	164064	181772	26	293	488	64	4763	7680	26
141624	214464	47169	111236	142137	23	645	1070	91	2163	3463	23
141476	214224	47088	132507	161661	24	121	209	60	1733	2783	24
141062	213955	47276	92633	121033	22	306	515	62	930	1470	22
140624	213633	47512	44812	65481	20	191	321	46	406	662	20
140376	213352	47565	155908	176844	25	178	309	57	1900	3072	25
138773	212356	48672	77254	107009	22	113	201	46	820	1344	22
138522	211808	48204	53973	76848	20	212	359	60	585	967	20
137604	211254	48805	40283	58248	19	525	884	79	527	889	19
136831	210317	48667	36281	53185	19	354	603	45	440	716	19
136536	210325	49112	128484	157810	24	143	244	50	1959	3104	24
136461	209952	48677	29501	45413	19	236	401	85	374	618	19
136177	209973	49126	78856	108546	22	149	250	48	531	861	22
135330	209134	49196	78205	107927	22	455	763	48	1155	1895	22
135088	208889	49344	94875	122947	22	437	726	122	801	1298	22
134509	208005	48682	78920	108551	22	357	611	94	589	968	22
134499	208305	49146	73679	103620	22	219	370	40	918	1526	22
134351	208153	49138	181403	184216	30	234	401	80	18036	28209	30
134336	207816	48651	68182	94565	21	33	61	23	549	893	21
133711	207490	49083	122153	150186	23	621	1044	129	1571	2502	23
133589	207360	49063	7096	11273	15	90	153	37	64	107	15
133544	207124	48738	90580	119313	22	74	127	28	1194	1945	22
133469	207232	49046	130238	158819	24	89	155	32	1941	3141	24
133257	206903	49009	29277	45142	19	272	459	61	552	910	19
133004	206456	48476	19589	30698	18	79	138	36	317	530	18
132525	206246	48949	142305	169503	25	377	650	89	2624	4157	25
132496	205901	48490	178701	183881	28	120	201	44	9695	15386	28
132233	205948	48931	57524	83474	21	502	850	99	70	113	21
131815	205137	48198	120200	151997	24	146	247	36	2506	3991	24
131787	205117	48318	74264	104164	22	820	1400	106	1511	2436	22
131785	205373	48671	65617	92036	21	53	92	33	784	1241	21
131409	204901	48471	173738	184021	27	201	343	53	4609	7265	27
131228	204538	48266	173958	183881	26	765	1287	72	4975	7891	26
131206	204723	48749	40876	58795	19	35	60	19	119	196	19
130604	204093	48693	118181	146937	23	212	346	51	531	859	23
130517	203807	48221	66546	92948	21	464	781	47	1041	1691	21
130495	203786	48222	172381	183881	26	341	580	64	6515	10406	26
130403	203662	48152	42744	63217	20	169	288	30	783	1237	20
130057	203387	48152	123590	154469	24	82	146	38	3418	5473	24
129874	203192	48124	43043	63579	20	83	143	36	845	1393	20
129780	203086	48089	98776	131497	23	353	600	113	540	867	23
129367	202698	48341	157541	177478	25	656	1109	85	2073	3308	25
129339	202462	47853	64469	90842	21	219	372	61	273	447	21
128788	201838	47713	150337	174197	25	73	123	37	2282	3698	25
128469	201478	47615	144848	171092	25	807	1350	79	2051	3303	25
128110	201137	47725	41709	59774	19	113	197	43	417	691	19
128092	201110	47707	17653	27055	17	43	74	25	423	691	17
127672	200525	47301	174820	184106	27	736	1234	129	4126	6657	27
127672	200525	47302	165739	182125	26	737	1235	130	3355	5333	26
127300	200194	47271	63165	89386	21	440	747	99	628	1027	21
127012	199844	47210	52116	73229	20	295	500	80	142	238	20
126924	199723	47094	160348	180322	26	196	333	52	2681	4292	26
126555	199220	46905	30839	46991	19	180	298	39	649	1050	19
126359	199035	46839	143374	170205	25	325	547	103	809	1313	25
126356	199028	46836	180239	184216	28	494	839	80	9276	14750	28
126299	198950	46779	142806	169868	25	162	278	45	1826	2979	25
125091	197348	46004	19150	30185	18	29	50	18	318	517	18
125046	197333	46136	171423	183881	26	86	148	42	3383	5486	26
124558	196665	45713	61194	87339	21	173	298	63	816	1335	21
124537	196702	45886	92777	121142	22	317	538	76	895	1436	22
124195	196231	45579	77204	103993	21	386	652	73	1093	1785	21
123985	195954	45488	141860	167407	24	512	857	42	1620	2610	24
123965	195969	45524	131084	159358	24	240	409	62	2946	4650	26
123231	195028	45142	121482	152936	24	295	500	82	2001	3235	24
123135	194863	44996	127372	157013	24	481	805	72	2583	4148	24
122888	194548	44851	18525	28173	17	619	1044	85	70	114	17
122669	194290	44860	90516	119256	22	87	151	44	598	968	24
122659	194268	44773	18202	27773	17	240	412	47	66	107	17
122253	193760	44529	122974	150577	23	205	345	51	2014	3232	23
122057	193509	44410	136659	162717	24	286	485	66	2031	3338	24
122051	193499	44404	159633	179947	26	118	199	46	4499	7184	26
121547	192950	44425	176966	184126	27	389	657	89	5992	9511	27
121410	192702	44218	84338	113673	22	410	695	56	1074	1761	22
121348	192616	44164	168858	182416	26	102	177	44	1620	2614	26
121015	192249	44097	153420	175679	25	162	272	49	2233	3586	25
120968	192082	43736	138664	165574	24	179	312	54	3581	5805	24
120623	191758	43881	2585	4223	13	61	109	33	74	124	13
120471	191396	43377	42273	60450	19	159	271	55	463	760	19
120467	191505	43710	22191	33889	18	147	250	58	186	312	18
